date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:20:26	247/247	---M--	200	added ('OK')	image/png	etag:%22f7-56794f3ed378f%22	https://www.transcanin.fr/images/icon-move-light.png	E:/jov/www.transcanin.fr/images/icon-move-light.png	(from https://www.transcanin.fr/css/owl.carousel.css)
00:20:26	1047/1047	---M--	200	added ('OK')	image/png	etag:%22417-56794f41b3ccf%22	https://www.transcanin.fr/images/icon-zoom.png	E:/jov/www.transcanin.fr/images/icon-zoom.png	(from https://www.transcanin.fr/css/magnific-popup.css)
00:20:27	1017/1017	---M--	200	added ('OK')	image/png	etag:%223f9-56794f40284af%22	https://www.transcanin.fr/images/icon-zoom-out.png	E:/jov/www.transcanin.fr/images/icon-zoom-out.png	(from https://www.transcanin.fr/css/magnific-popup.css)
00:20:27	734/734	---M--	200	added ('OK')	image/png	etag:%222de-56794f41e982f%22	https://www.transcanin.fr/images/icon-zoom2.png	E:/jov/www.transcanin.fr/images/icon-zoom2.png	(from https://www.transcanin.fr/css/magnific-popup.css)
00:20:28	1088/1088	---M--	200	added ('OK')	image/png	etag:%22440-56794f2c09e6e%22	https://www.transcanin.fr/images/arrow-down.png	E:/jov/www.transcanin.fr/images/arrow-down.png	(from https://www.transcanin.fr/css/style.css)
00:20:29	1530/1530	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Apr%202024%2023:22:14%20GMT	https://www.transcanin.fr/images/arrow-down-white.png	E:/jov/www.transcanin.fr/images/arrow-down-white.png	(from https://www.transcanin.fr/css/style.css)
00:20:30	115/115	---M--	200	added ('OK')	image/png	etag:%2273-56794f428e8cf%22	https://www.transcanin.fr/images/logo-border.png	E:/jov/www.transcanin.fr/images/logo-border.png	(from https://www.transcanin.fr/css/style.css)
00:20:31	14985/14985	---M--	200	added ('OK')	image/png	etag:%223a89-56794f2c61cae%22	https://www.transcanin.fr/images/arrow.png	E:/jov/www.transcanin.fr/images/arrow.png	(from https://www.transcanin.fr/css/style.css)
00:20:33	1047/1047	---M--	200	added ('OK')	image/png	etag:%22417-56794f4108e6f%22	https://www.transcanin.fr/images/icon-zoom-white2.png	E:/jov/www.transcanin.fr/images/icon-zoom-white2.png	(from https://www.transcanin.fr/css/style.css)
00:20:33	1075/1075	---M--	200	added ('OK')	image/png	etag:%22433-56794f2c0bdae%22	https://www.transcanin.fr/images/arrow-white.png	E:/jov/www.transcanin.fr/images/arrow-white.png	(from https://www.transcanin.fr/css/style.css)
00:20:34	216/216	---M--	200	added ('OK')	image/png	etag:%22d8-56794f4857fef%22	https://www.transcanin.fr/images/select-arrow.png	E:/jov/www.transcanin.fr/images/select-arrow.png	(from https://www.transcanin.fr/css/style.css)
00:20:35	934/934	---M--	200	added ('OK')	image/png	etag:%223a6-56794f422ddef%22	https://www.transcanin.fr/images/link-line.png	E:/jov/www.transcanin.fr/images/link-line.png	(from https://www.transcanin.fr/css/style.css)
00:20:35	9645/9645	---M--	200	added ('OK')	image/jpeg	etag:%2225ad-56794f4c8072f%22	https://www.transcanin.fr/images/tattoo-icon-bg.jpg	E:/jov/www.transcanin.fr/images/tattoo-icon-bg.jpg	(from https://www.transcanin.fr/css/style.css)
